wavelength,counts
1069.8341,4167
1070.1199,4171
1070.4056,4146
1070.6914,4185
1070.9771,4191
1071.2628,4164
1071.5486,4142
1071.8342,4255
1072.12,4210
1072.4056,4224
1072.6914,4206
1072.9771,4245
1073.2628,4226
1073.5485,4258
1073.8342,4242
1074.1199,4312
1074.4056,4304
1074.6913,4336
1074.9769,4352
1075.2626,4368
1075.5483,4355
1075.834,4329
1076.1196,4356
1076.4053,4430
1076.6909,4447
1076.9766,4388
1077.2623,4435
1077.548,4439
1077.8336,4471
1078.1193,4491
1078.4049,4500
1078.6904,4536
1078.9761,4531
1079.2617,4600
1079.5474,4588
1079.833,4582
1080.1187,4667
1080.4042,4615
1080.6898,4632
1080.9755,4706
1081.2611,4725
1081.5466,4712
1081.8323,4785
1082.1178,4806
1082.4034,4802
1082.689,4811
1082.9746,4840
1083.2601,4866
1083.5458,4913
1083.8313,4899
1084.1169,4957
1084.4025,5007
1084.688,5001
1084.9736,5047
1085.2592,5044
1085.5447,5106
1085.8302,5071
1086.1158,5076
1086.4014,5120
1086.6869,5153
1086.9724,5189
1087.2579,5133
1087.5435,5194
1087.829,5179
1088.1145,5187
1088.4,5187
1088.6855,5155
1088.9711,5261
1089.2566,5234
1089.542,5255
1089.8275,5287
1090.113,5290
1090.3986,5292
1090.684,5281
1090.9695,5260
1091.255,5267
1091.5404,5259
1091.8259,5233
1092.1115,5262
1092.3969,5337
1092.6824,5219
1092.9678,5250
1093.2533,5239
1093.5387,5320
1093.8241,5313
1094.1096,5288
1094.395,5319
1094.6804,5295
1094.9659,5337
1095.2513,5325
1095.5367,5276
1095.8221,5299
1096.1075,5315
1096.3931,5280
1096.6785,5263
1096.9639,5334
1097.2493,5247
1097.5347,5192
1097.8201,5242
1098.1055,5232
1098.3909,5240
1098.6763,5176
1098.9615,5198
1099.2469,5188
1099.5323,5162
1099.8177,5132
1100.1031,5124
1100.3884,5154
1100.6738,5040
1100.9592,5068
1101.2445,5091
1101.5299,5069
1101.8152,5081
1102.1006,5032
1102.3859,5002
1102.6713,4993
1102.9565,4976
1103.2419,4984
1103.5272,4973
1103.8125,4922
1104.0979,4901
1104.3832,4898
1104.6685,4855
1104.9539,4820
1105.2391,4843
1105.5244,4866
1105.8097,4839
1106.095,4759
1106.3802,4712
1106.6655,4773
1106.9508,4740
1107.2361,4708
1107.5214,4685
1107.8066,4730
1108.0919,4590
1108.3772,4672
1108.6625,4570
1108.9478,4592
1109.2329,4590
1109.5182,4536
1109.8035,4558
1110.0887,4489
1110.3739,4482
1110.6592,4463
1110.9445,4456
1111.2296,4429
1111.5149,4418
1111.8,4398
1112.0853,4361
1112.3705,4349
1112.6558,4336
1112.9409,4306
1113.2261,4209
1113.5114,4255
1113.7965,4234
1114.0817,4205
1114.3668,4198
1114.6521,4147
1114.9373,4147
1115.2224,4116
1115.5076,4092
1115.7927,4094
1116.0779,4060
1116.363,3991
1116.6482,3988
1116.9333,4015
1117.2185,4006
1117.5037,3955
1117.7888,3917
1118.074,3919
1118.359,3939
1118.6442,3937
1118.9293,3928
1119.2145,3849
1119.4995,3852
1119.7847,3796
1120.0698,3824
1120.3549,3792
1120.64,3773
1120.925,3791
1121.2102,3764
1121.4952,3693
1121.7804,3716
1122.0654,3675
1122.3506,3699
1122.6356,3705
1122.9207,3681
1123.2058,3637
1123.4908,3654
1123.7759,3640
1124.0609,3615
1124.3459,3592
1124.631,3608
1124.9161,3570
1125.2012,3573
1125.4862,3564
1125.7712,3583
1126.0563,3534
1126.3413,3530
1126.6263,3530
1126.9113,3484
1127.1963,3501
1127.4813,3480
1127.7664,3495
1128.0514,3447
1128.3363,3463
1128.6213,3447
1128.9064,3443
1129.1913,3433
1129.4763,3438
1129.7612,3412
1130.0463,3408
1130.3313,3418
1130.6162,3417
1130.9011,3389
1131.1862,3377
1131.4711,3382
1131.7561,3384
1132.041,3352
1132.3259,3341
1132.6108,3352
1132.8959,3328
1133.1808,3327
1133.4657,3325
1133.7506,3304
1134.0355,3326
1134.3204,3296
1134.6053,3303
1134.8903,3310
1135.1752,3311
1135.4601,3270
1135.745,3279
1136.0299,3260
1136.3148,3252
1136.5997,3271
1136.8845,3263
1137.1694,3255
1137.4543,3255
1137.7393,3239
1138.024,3238
1138.309,3232
1138.5939,3201
1138.8787,3231
1139.1636,3223
1139.4484,3211
1139.7333,3203
1140.0181,3228
1140.3029,3200
1140.5878,3220
1140.8726,3243
1141.1573,3205
1141.4423,3208
1141.7271,3231
1142.0118,3187
1142.2966,3189
1142.5814,3209
1142.8663,3186
